id, deeplink,thumbnail_img_src,has_motiv,motiv,motivkategorie
"2178","https://www.otto.de/p/name-it-print-oberteil-mit-langen-aermeln-668016782/#variationId=668016785","https://i.otto.de/i/otto/23686581?$001PICT36$","1","Reh","Tier"
"103","https://www.otto.de/p/name-it-gestreiftes-t-shirt-687734520/#variationId=687734524","https://i.otto.de/i/otto/25418643?$001PICT36$","1","Biene","Tier"
"425","https://www.otto.de/p/name-it-wendepailletten-t-shirt-684274098/#variationId=684274118","https://i.otto.de/i/otto/25005558?$001PICT36$","1","Biene","Tier"
"4287","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-678225457/#variationId=678225461","https://i.otto.de/i/otto/24527169?$001PICT36$","1","Biene","Tier"
"59","https://www.otto.de/p/marc-o-polo-junior-langarmshirt-743480080/#variationId=743480081","https://i.otto.de/i/otto/28823494?$001PICT36$","1","Roboter","Maschinen und Technisches"
"3602","https://www.otto.de/p/name-it-print-t-shirt-686141149/#variationId=686536075","https://i.otto.de/i/otto/25295498?$001PICT36$","1","Roboter","Maschinen und Technisches"
"157","https://www.otto.de/p/roxy-longsleeve-scat-singing-621529819/#variationId=621529822","https://i.otto.de/i/otto/20020327?$001PICT36$","1","Wohnwagen","Fahrzeug"
"238","https://www.otto.de/p/code-zero-t-shirt-voiles-d-antibes-cote-d-azur-kinder-applikationen-702496703/#variationId=702496707","https://i.otto.de/i/otto/26676909?$001PICT36$","1","Segeln","Sport"
"1036","https://www.otto.de/p/lego-wear-t-shirt-texas-306-ahoi-sailor-728334549/#variationId=728334649","https://i.otto.de/i/otto/27825527?$001PICT36$","1","Segeln","Sport"
"1302","https://www.otto.de/p/lego-wear-t-shirt-texas-304-sea-racing-728600403/#variationId=728600404","https://i.otto.de/i/otto/27933665?$001PICT36$","1","Segeln","Sport"
"1541","https://www.c-and-a.com/de/de/shop/set-hemd-und-krawatte-bio-baumwolle-2001855/2?categoryId=15437","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1518179906/2001855-2-08.jpg","1","Segeln","Sport"
