id,deeplink_href,thumbnail_img_src,title,has_motiv,has_glitzer,geschlecht,shop,colors_palette_id,is_primary,R,G,B,H,S,V,HEX,name_de,name_en,parent_name_de_2, R_palette, G_palette, B_palette, H_palette, S_palette, V_palette, weight_parent_color
1597,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-1062564/0?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1515768605/1062564-0-01.jpg",Here and There,0,1,f,c_und_a,14,0,76,170,189,190,60,74,#5f9ea0,Kadettenblau,cadetblue,tuerkis,95,158,160,182,41,63,0.25
1597,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-1062564/0?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1515768605/1062564-0-01.jpg",Here and There,0,1,f,c_und_a,91,0,191,0,93,331,100,75,#c71585,mittleres Violettrot,mediumvioletred,pink,199,21,133,322,89,78,0.25
1597,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-1062564/0?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1515768605/1062564-0-01.jpg",Here and There,0,1,f,c_und_a,48,1,234,234,244,240,4,96,#f8f8ff,Geisterweiss,ghostwhite,weiss,248,248,255,240,3,100,0.5
1598,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2025587/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524242678/2025587-1-01.jpg",Here and There,0,1,f,c_und_a,133,0,219,185,202,330,16,86,#d8bfd8,Distel,thistle,lila,216,191,216,300,12,85,0.25
1598,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2025587/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524242678/2025587-1-01.jpg",Here and There,0,1,f,c_und_a,73,0,77,175,150,165,56,69,#20b2aa,helles Seegruen,lightseagreen,tuerkis,32,178,170,177,82,70,0.25
1598,https://www.c-and-a.com/de/de/shop/kurzarmshirt-glanz-effekt-2025587/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524242678/2025587-1-01.jpg",Here and There,0,1,f,c_und_a,124,1,195,200,196,132,3,78,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.5
1599,https://www.c-and-a.com/de/de/shop/die-eiskoenigin-kurzarmshirt-1078275/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1519830670/1078275-1-08.jpg",Rodeo,1,0,f,c_und_a,1,0,220,226,237,219,7,93,#f0f8ff,eisfarben,aliceblue,weiss,240,248,255,208,6,100,0.25
1599,https://www.c-and-a.com/de/de/shop/die-eiskoenigin-kurzarmshirt-1078275/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1519830670/1078275-1-08.jpg",Rodeo,1,0,f,c_und_a,56,0,255,69,201,317,73,100,#ff69b4,leuchtendes Rosa,hotpink,pink,255,105,180,330,59,100,0.25
1599,https://www.c-and-a.com/de/de/shop/die-eiskoenigin-kurzarmshirt-1078275/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1519830670/1078275-1-08.jpg",Rodeo,1,0,f,c_und_a,65,1,176,217,231,195,24,91,#add8e6,Hellblau,lightblue,blau,173,216,230,195,25,90,0.5
1600,https://www.c-and-a.com/de/de/shop/the-punisher-kurzarmshirt-2033429/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1533226231/2033429-1-01.jpg",Here and There,1,1,m,c_und_a,41,1,79,71,74,338,10,31,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,1
